_step,actor/train/kl,actor/train/pg_clipfrac
1,0.00624091736972332,0.03519061580300331
2,0.00624091736972332,0.03519061580300331
3,-0.0027002720162272453,0
4,-0.0047708963975310326,0
5,-0.0014779571210965514,0.008810572326183319
6,-0.0025899552274495363,0.0044052861630916595
7,0.00093059305800125,0
8,0.003994302358478308,0
9,-0.012107753194868565,0.024576272815465927
10,-0.0025980838108807802,0.017796611413359642
11,0.0004769161168951541,0
12,0.0030062184669077396,0
13,-0.00017975842638406903,0.0061295973137021065
14,-0.00124071363825351,0.00525394082069397
15,-0.005336535628885031,0
16,-0.0032314597629010677,0
17,-0.003586369566619396,0.013513513840734959
18,-0.008988110348582268,0.02364864945411682
19,0.0006278917426243424,0.017667844891548157
20,0.004714622162282467,0.005300353281199932
21,-0.0009246949921362102,0
22,-0.0011480480898171663,0
23,-0.002629911992698908,0
24,0.003122660331428051,0
25,0.0003696050844155252,0.007795100565999746
26,-0.005258258897811174,0.010022272355854511
27,-0.0010622853878885508,0.016949152573943138
28,0.0016282722353935242,0.014124293811619282
29,-0.008443989790976048,0.013698630966246128
30,-0.002325528534129262,0.003424657741561532
31,0.0001539505465188995,0.016236867755651474
32,0.0020400197245180607,0.01050620898604393
33,-0.0033863158896565437,0.006188119295984507
34,-0.001979386666789651,0.006188119295984507
35,-0.0008385716355405748,0.014472291804850101
36,0.0014742485946044326,0.015178256668150425
37,0.001780129037797451,0
38,0.003903669770807028,0
39,0.0017735626315698028,0.01165695209056139
40,0.00095656473422423,0.01165695209056139
41,-0.005222961772233248,0.011396011337637901
42,-0.002174809342250228,0.00997150968760252
43,0.00022055160661693662,0
44,0.0009619152406230569,0
45,0.001246807281859219,0
46,-0.00025352000375278294,0
47,0.010705963708460331,0.014354067854583263
48,0.003052153391763568,0.020733654499053955
49,0.002602629130706191,0.0136239780113101
50,0.001840866869315505,0.0136239780113101
51,0.010571131482720375,0
52,0.011647968553006649,0
53,0.0034257760271430016,0
54,0.0019731197971850634,0
55,0.016591766849160194,0.007246376946568489
56,0.02452300302684307,0.007246376946568489
57,0.02041628770530224,0
58,0.014508725143969059,0
59,-0.002228632802143693,0.012010443955659866
60,-0.0020181341096758842,0.009399477392435074
61,0.022291280329227448,0.0167427696287632
62,0.00731575908139348,0.025875190272927284
63,0.05896393954753876,0
64,0.04946095496416092,0
65,0.003787366906180978,0.00871459674090147
66,0.00394884729757905,0.013071894645690918
67,0.0032547786831855774,0.017094017937779427
68,0.004538861569017172,0.008547008968889713
69,0.0030851683113723993,0.007795100565999746
70,-0.002412613481283188,0.013363029807806015
71,-0.0008298903703689575,0
72,-0.0060343313962221146,0
73,0.009108532220125198,0
74,-0.0024344041012227535,0
75,0.016952145844697952,0.01875000074505806
76,0.019530797377228737,0.015625
77,-0.000973755493760109,0.014375561848282814
78,-0.0006585571100004017,0.014824798330664635
79,-0.0026371008716523647,0.016362491995096207
80,-0.003295035334303975,0.01573316566646099
81,0.010024434886872768,0.010101011022925377
82,0.009705862030386925,0.010101011022925377
83,-0.0016141266096383333,0
84,-0.0028305950108915567,0
85,0.006200552452355623,0.020408164709806442
86,-0.0025040521286427975,0.01785714365541935
87,0.00439158221706748,0.008368200622498989
88,0.0007050166605040431,0.012552300468087196
89,0.00030085098114795983,0
90,0.0042845881544053555,0
91,0.004604403395205736,0
92,0.002777911489829421,0
93,0.0054786913096904755,0.003816793905571103
94,0.006413716822862625,0.010178117081522942
95,-0.0011964197037741542,0.004926108289510012
96,3.74595147150103e-05,0.004926108289510012
97,0.0006869575008749962,0.014492753893136978
98,0.008408690802752972,0.01656314730644226
99,0.009394792839884758,0.012547051534056664
100,0.01798832230269909,0.00878293626010418
101,0.012971827760338783,0.017173051834106445
102,0.005093702115118504,0.015852048993110657
103,0.017821431159973145,0.017777778208255768
104,0.014384295791387558,0.013333333656191826
105,0.025656379759311676,0.010162602178752422
106,0.026730628684163094,0.004065040964633226
107,0.020554058253765106,0.015909092500805855
108,0.009609847329556942,0.013636364601552486
109,0.019889917224645615,0.009831461124122143
110,0.02157844789326191,0.01123595517128706
111,0.007939326576888561,0.004048583097755909
112,0.008743532933294773,0.004048583097755909
113,0.0011728676036000252,0.006369426846504211
114,-0.004342316184192896,0.01114649698138237
115,0.012270620092749596,0.009987516328692436
116,0.008735045790672302,0.008739076554775238
117,0.01627810113132,0.0053114439360797405
118,0.01868247613310814,0.005794302560389042
119,0.07355951517820358,0.018518518656492233
120,0.0782751739025116,0.018518518656492233
121,0.07317672669887543,0.014388489536941051
122,0.0736965760588646,0.011990407481789589
123,0.05438724160194397,0.021400779485702515
124,0.057777196168899536,0.021400779485702515
125,0.02766384556889534,0.016949152573943138
126,0.025230495259165764,0.01600753329694271
127,0.018597664311528206,0.021118013188242912
128,0.019773900508880615,0.018219461664557457
129,0.027603423222899437,0.012016021646559238
130,0.030001956969499588,0.01068090833723545
131,0.003466709516942501,0.010989012196660042
132,0.0013129999861121178,0.010989012196660042
133,0.030847983434796333,0.005479452200233936
134,0.031052380800247192,0.006849315017461777
135,0.010395228862762451,0.012789768166840076
136,0.01023692637681961,0.016786571592092514
137,0.02644956111907959,0.008928571827709675
138,0.026821207255125046,0.01160714402794838
139,0.011037214659154415,0.008507853373885155
140,0.01081367488950491,0.007198953069746494
141,0.004151626490056515,0.01886792480945587
142,-0.0006184169324114919,0.02539912983775139
143,0.011455907486379147,0.008583690971136093
144,0.01085454411804676,0.018597997725009918
145,0.06236932426691055,0
146,0.05973713845014572,0
147,0.0238848514854908,0.023150762543082237
148,0.02753734029829502,0.026538677513599396
149,0.0280736293643713,0.01506996713578701
150,0.028200684115290642,0.01776103302836418
151,0.11829394102096558,0
152,0.11714564263820648,0
153,0.087985098361969,0
154,0.09529827535152435,0
155,0.06408660113811493,0.011799409985542297
156,0.0638328343629837,0.01032448373734951
157,0.05154213681817055,0.015259410254657269
158,0.052587851881980896,0.012207528576254845
159,0.10018902271986008,0.028462998569011688
160,0.10074353963136673,0.017077798023819923
161,0.17409074306488037,0.01923076994717121
162,0.17875884473323822,0.012820512987673283
163,0.11252528429031372,0.008007117547094822
164,0.11314266175031662,0.00978647731244564
165,0.047624289989471436,0
166,0.04700358584523201,0
167,0.04960305616259575,0
168,0.0459795780479908,0
169,0.05118231847882271,0.009280743077397346
170,0.055353470146656036,0.016241300851106644
171,0.050251174718141556,0.010676156729459763
172,0.053377341479063034,0.021352313458919525
173,0.03481831029057503,0.011055275797843933
174,0.03278287127614021,0.012060301378369331
175,0.04936547577381134,0.008298755623400211
176,0.052342161536216736,0.016597511246800423
177,0.04179326444864273,0.01955307275056839
178,0.04131031408905983,0.02374301850795746
179,0.11565868556499481,0.00776397529989481
180,0.11386748403310776,0.00776397529989481
181,0.0831504538655281,0.005571030545979738
182,0.08310018479824066,0.005571030545979738
183,0.042402420192956924,0.005500549916177988
184,0.04194013401865959,0.007700770162045956
185,0.057023510336875916,0.022084806114435196
186,0.058720458298921585,0.019434629008173943
187,0.17379264533519745,0.008547008037567139
188,0.17075049877166748,0.022792022675275803
189,0.01193078700453043,0.014726507477462292
190,0.011502326466143131,0.014375876635313034
191,0.09271856397390366,0
192,0.09260421246290207,0
193,0.10519202798604965,0.01854974776506424
194,0.10677413642406464,0.013490725308656693
195,0.1306792050600052,0
196,0.12663434445858002,0
197,0.1363251656293869,0.007496252190321684
198,0.13635824620723724,0.007496252190321684
199,0.024144364520907402,0.027246849611401558
200,0.023839706555008888,0.02806018851697445
201,0.03835605829954147,0
202,0.03945091739296913,0
203,0.049682848155498505,0.016963528469204903
204,0.04900865629315376,0.019508058205246925
205,0.11048966646194458,0.012295082211494446
206,0.11191319674253464,0.012295082211494446
207,0.10857165604829788,0.01184210553765297
208,0.10661537200212479,0.015789475291967392
209,0.10509692877531052,0.006273525767028332
210,0.10499567538499832,0.011292345821857452
211,0.012756896205246449,0.0273092370480299
212,0.010933411307632923,0.02329317294061184
213,0.06831853836774826,0.01589825190603733
214,0.06757944077253342,0.012718601152300835
215,0.11713038384914398,0
216,0.11566640436649323,0
217,0.12233835458755493,0.01115760114043951
218,0.12313453108072281,0.012552301399409771
219,0.08782194554805756,0.0035026271361857653
220,0.08937817066907883,0.0017513135680928826
221,0.03853267803788185,0.013169074431061745
222,0.03768925741314888,0.01189464796334505
223,0.13409866392612457,0
224,0.12998905777931213,0
225,0.0632191002368927,0.030981069430708885
226,0.06488977372646332,0.02581755816936493
227,0.13110092282295227,0
228,0.13123063743114471,0
229,0.0889713391661644,0
230,0.08873197436332703,0
231,0.14524482190608978,0.012048192322254181
232,0.13748490810394287,0.01606425642967224
233,0.1599224954843521,0
234,0.15743115544319153,0
235,0.06340137869119644,0.008207934908568859
236,0.06246679276227951,0.012311901897192001
237,0.14257487654685974,0.0069444444961845875
238,0.14636003971099854,0.0069444444961845875
239,0.09168641269207001,0.010534236207604408
240,0.09363576024770737,0.017306244000792503
241,0.09580089151859283,0.009885932318866253
242,0.09611640870571136,0.009885932318866253
243,0.3367275297641754,0
244,0.33930739760398865,0
245,0.06435773521661758,0.011780104599893093
246,0.06491658091545105,0.011780104599893093
247,0.0685492679476738,0.0260416679084301
248,0.07148121297359467,0.02083333395421505
249,0.10602807998657227,0.0016863406635820866
250,0.10451912879943848,0.00505902199074626
251,0.08063653111457825,0.01346801407635212
252,0.08389066159725189,0.012345679104328156
253,0.15486235916614532,0
254,0.1562313586473465,0
255,0.0722401812672615,0
256,0.07055000960826874,0
257,0.055522620677948,0.016172505915164948
258,0.054057978093624115,0.0173276849091053
259,0.08451168239116669,0.024409448727965355
260,0.09055814146995544,0.025196850299835205
261,0.1279018372297287,0.013906448148190975
262,0.1281198263168335,0.016434893012046814
263,0.06674262136220932,0
264,0.06380724161863327,0
265,0.11191678047180176,0.011725293472409248
266,0.11515660583972931,0.010050252079963684
267,0.09642847627401352,0.008739076554775238
268,0.09358290582895279,0.017478153109550476
269,0.1698807328939438,0.008602150715887547
270,0.1701151579618454,0.01075268816202879
271,0.20799119770526886,0.010169492103159428
272,0.207485631108284,0.01355932280421257
273,0.10660847276449203,0.03487358242273331
274,0.10640180855989456,0.035745423287153244
275,0.22254744172096252,0
276,0.22046640515327454,0
277,0.07724893093109131,0.022727273404598236
278,0.07492075860500336,0.022727273404598236
279,0.08779279887676239,0.012282497249543667
280,0.08543755114078522,0.015353121794760227
281,0.12800519168376923,0.02242990769445896
282,0.12498782575130463,0.026168225333094597
283,0.06259527057409286,0.020813165232539177
284,0.06080744042992592,0.021297192201018333
285,0.15298397839069366,0.01833333447575569
286,0.15151281654834747,0.019999999552965164
287,0.15397870540618896,0.016034986823797226
288,0.15691111981868744,0.017492711544036865
289,0.14998234808444977,0.013774104416370392
290,0.14930616319179535,0.013774104416370392
291,0.06847681105136871,0.018282989040017128
292,0.06687474250793457,0.019872814416885376
293,0.1292092353105545,0.013182674534618855
294,0.12571538984775543,0.015065914019942284
295,0.0858508050441742,0.019171778112649918
296,0.08463464677333832,0.019171778112649918
297,0.3782004714012146,0
298,0.37357449531555176,0
299,0.19601218402385712,0
300,0.19380919635295868,0
301,0.15138915181159973,0
302,0.15118591487407684,0
303,0.16001464426517487,0.008708273060619831
304,0.16129739582538605,0.015965167433023453
305,0.04686544090509415,0.019476907327771187
306,0.048702508211135864,0.01613800786435604
307,0.10984169691801071,0.03621581569314003
308,0.10932977497577667,0.03473762050271034
309,0.20617207884788513,0.008356546051800251
310,0.21927005052566528,0.008356546051800251
311,0.09728772193193436,0.016160311177372932
312,0.10022468864917755,0.018099548295140266
313,0.08391670137643814,0.022048015147447586
314,0.08348377048969269,0.018128367140889168
315,0.13208293914794922,0
316,0.12772846221923828,0
317,0.0643213763833046,0.001838235417380929
318,0.0661778375506401,0.0009191177086904645
319,0.13678127527236938,0.005347593687474728
320,0.13542157411575317,0.006684492342174053
321,0.17820949852466583,0
322,0.17377395927906036,0
323,0.22671447694301605,0.009242144413292408
324,0.23178493976593018,0.00554528646171093
325,0.20006325840950012,0.012658228166401386
326,0.1976182758808136,0.012658228166401386
327,0.17405930161476135,0.017391305416822433
328,0.17522276937961578,0.015942029654979706
329,0.08465801179409027,0.008121827617287636
330,0.08539669215679169,0.006091370712965727
331,0.07898988574743271,0.013617525808513165
332,0.07726211100816727,0.017761990427970886
333,0.20142081379890442,0.0163690485060215
334,0.20079615712165833,0.01785714365541935
335,0.37517261505126953,0.013108614832162857
336,0.3732200562953949,0.01123595517128706
337,0.11422453075647354,0.027888447046279907
338,0.11446596682071686,0.032536521553993225
339,0.1072763204574585,0.006079027429223061
340,0.10713941603899002,0.004052685108035803
341,0.25605517625808716,0
342,0.24570831656455994,0
343,0.1510993391275406,0.03629032522439957
344,0.14873452484607697,0.03629032522439957
345,0.22090323269367218,0
346,0.2170741856098175,0
347,0.10661403834819794,0
348,0.10489118844270706,0
349,0.1808026283979416,0
350,0.17871691286563873,0
351,0.09702680259943008,0.020296216011047363
352,0.0972663164138794,0.016456391662359238
353,0.14556218683719635,0.01270849909633398
354,0.144115149974823,0.015091342851519585
355,0.2126920521259308,0.022258862853050232
356,0.21022410690784454,0.024732070043683052
357,0.138315349817276,0.004231311846524477
358,0.13784345984458923,0.008462623693048954
359,0.1787557750940323,0
360,0.17165522277355194,0
361,0.2072393149137497,0.022883296012878418
362,0.20609936118125916,0.02803203836083412
363,0.41647180914878845,0
364,0.41256487369537354,0
365,0.3779217004776001,0.02657807432115078
366,0.37358298897743225,0.01661129668354988
367,0.11752746254205704,0
368,0.11636938899755478,0
369,0.1769774705171585,0.006543075665831566
370,0.1761363297700882,0.0076335882768034935
371,0.23219598829746246,0.016842104494571686
372,0.23190055787563324,0.023157894611358643
373,0.37120112776756287,0.019503546878695488
374,0.37058916687965393,0.019503546878695488
375,0.18311795592308044,0
376,0.1802375614643097,0
377,0.33808544278144836,0.025641025975346565
378,0.33966779708862305,0.021842356771230698
379,0.26133108139038086,0.0072992704808712006
380,0.26016274094581604,0.00875912420451641
