_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,10,2.5,0.01845884881913662,230.125,322.53324468085106
128,1.625,0.40625,0.14791221916675568,591.625,240.6156914893617
192,10,2.5,0.08923199027776718,258.875,273.31781914893617
256,7.25,1.8125,0.1358712613582611,227.75,296.1675531914894
320,3.4375,0.859375,0.1992715299129486,565.5,296.88829787234044
384,3.3125,0.828125,0.22345371544361115,394.125,328.8829787234043
448,4.9375,1.234375,0.1731371432542801,409.25,370.4720744680851
512,3.3125,0.828125,0.08905822783708572,442.875,394.12367021276594
576,4.8125,1.203125,0.2273130863904953,502.875,361.44281914893617
640,4.125,1.03125,0.19640173017978668,564.5,361.23936170212767
704,3.875,0.96875,0.13632559776306152,326.75,364.5824468085106
768,4.5,1.125,0.1923692375421524,192.875,364.2885638297872
832,8,2,0.17218656837940216,347.125,363.61436170212767
