_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,1,0.25,-0.0006493799737654626,125,227.0120320855615
128,1.25,0.3125,0.03969717398285866,508.5,242.2807486631016
192,5,1.25,0.026582863181829453,255,218.5855614973262
256,4.5,1.125,0.17307505011558533,224,243.67780748663102
320,10,2.5,0.04469455033540726,261,272.2192513368984
384,4.5,1.125,0.0963246151804924,207,248.3114973262032
448,5.25,1.3125,0.19942639768123627,370.5,292.1363636363636
512,7.5,1.875,0.17552675306797028,137.5,269.1096256684492
576,3.75,0.9375,0.3552020788192749,312,205.8475935828877
640,1.5,0.375,0.25823524594306946,409,255.79545454545453
704,4.5,1.125,0.6296799778938293,70,136.3114973262032
768,4.5,1.125,0.26861220598220825,97,283.41711229946526
832,1.25,0.3125,0.5249423980712891,556.5,289.9077540106952
896,4.5,1.125,0.3653893768787384,209,234.8181818181818
960,2,0.5,0.4312285780906677,542,189.25
1024,7.875,1.96875,0.49205419421195984,100.5,193.27941176470588
1088,5.25,1.3125,0.41363397240638733,303,226.16042780748663
1152,4.5,1.125,0.5704777836799622,241,206.91310160427807
1216,4.5,1.125,0.5113005042076111,189.5,265.3034759358289
1280,3,0.75,0.5231184959411621,443.5,205.44251336898395
1344,7.25,1.8125,0.532633364200592,164,197.0909090909091
1408,10,2.5,0.7621822953224182,118,178.70053475935828
1472,2,0.5,1.0866419076919556,166,170.02272727272728
1536,7.25,1.8125,0.45308125019073486,94.5,217.92245989304814
1600,7.25,1.8125,0.6708937883377075,175.5,209.66711229946523
1664,10,2.5,0.6166689395904541,137.5,220.32754010695186
1728,7.25,1.8125,0.6782315969467163,367,241.16711229946523
1792,10,2.5,0.9473468065261841,343,277.5401069518717
1856,4.5,1.125,0.9199900031089783,251.5,302.7994652406417
1920,4.5,1.125,0.3391704261302948,169,283.701871657754
1984,4.5,1.125,0.4835023283958435,192.5,293.2312834224599
2048,4.75,1.1875,0.40187710523605347,453.5,273.1938502673797
2112,4,1,0.8617311716079712,331.5,306.1417112299465
2176,4.5,1.125,0.7982052564620972,122,316.33957219251334
2240,2,0.5,0.6512365341186523,491,275.62433155080214
2304,3.5,0.875,0.9826198220252991,161.5,274.48930481283423
2368,6.25,1.5625,0.8262966871261597,153.5,282.1844919786096
2432,3.5,0.875,0.5735452771186829,168.5,288.2192513368984
2496,1,0.25,1.0199801921844482,522.5,285.69117647058823
2560,3.5,0.875,0.7997468709945679,151,279.42379679144386
2624,10,2.5,0.8367952108383179,379,298.1016042780749
2688,2,0.5,0.8112626075744629,496.5,295.0147058823529
2752,4.5,1.125,1.051212191581726,69.5,292.91711229946526
2816,2,0.5,0.8693689703941345,468.5,292.4318181818182
2880,4.5,1.125,0.4241131842136383,300.5,289.7513368983957
2944,3.5,0.875,0.5370768308639526,63,283.4438502673797
3008,4.5,1.125,0.5178654789924622,157.5,293.34090909090907
3072,3.5,0.875,2.6816234588623047,305,295.6965240641711
3136,4.5,1.125,0.6688503623008728,160.5,298.3355614973262
3200,9,2.25,0.4903521239757538,225,287.70454545454544
3264,2,0.5,0.5972923636436462,456,287.6938502673797
3328,2.625,0.65625,0.920346736907959,508,280.14438502673795
