_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,9,2.25,0.017819978296756744,159.5,283.5585106382979
128,2.6875,0.671875,0.11619684100151062,532,273.8989361702128
192,8.6875,2.171875,0.06554456055164337,397.625,351.5093085106383
256,8.3125,2.078125,0.13683804869651794,238.125,270.89627659574467
320,2.5625,0.640625,0.10520076751708984,631,243.2965425531915
384,7.9375,1.984375,0.18181031942367554,187.375,287.65824468085106
448,9.3125,2.328125,0.1285489946603775,159.125,293.04122340425533
512,6.0625,1.515625,0.08406002819538116,381.375,282.2154255319149
576,4.40625,1.1015625,0.10566044598817825,370.375,269.1914893617021
640,8.6875,2.171875,0.13929811120033264,259.75,282.1755319148936
704,5.875,1.46875,0.11796502768993378,169.25,286.82313829787233
768,4.5,1.125,0.07870209217071533,155.125,287.1901595744681
832,3.375,0.84375,0.19311100244522095,552.875,287.4308510638298
