_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,1,0.25,-0.0011063284473493695,215.5,232.06951871657753
128,-1.5,-0.375,-0.0025811498053371906,413,230.84893048128342
192,1.5,0.375,0.03377719223499298,288,217.85695187165774
256,7.25,1.8125,0.11099424958229065,194,234.48128342245988
320,0,0,0.035310305655002594,497,240.87433155080214
384,4.5,1.125,0.15673013031482697,259.5,259.0267379679144
448,7.25,1.8125,0.29333388805389404,333,242.69251336898395
512,3.25,0.8125,0.0885293185710907,251.5,338.1951871657754
576,-0.5,-0.125,0.6314948201179504,768,265.8302139037433
640,4.5,1.125,0.378537118434906,228,215.75401069518716
704,4.5,1.125,0.33303844928741455,127.5,199.09358288770053
768,4.5,1.125,0.42034879326820374,157,255.90641711229947
832,4.75,1.1875,0.3233731985092163,429,279.1711229946524
896,4.75,1.1875,0.36427950859069824,365.5,273.90106951871655
960,2.625,0.65625,0.4582885205745697,572,289.55882352941177
1024,2,0.5,0.44709405303001404,200.5,290.02139037433153
1088,7.875,1.96875,0.41253840923309326,393,315.4598930481283
1152,3,0.75,0.7540963292121887,290,307.7366310160428
1216,1,0.25,0.6739875078201294,226,285.71791443850265
1280,1.5,0.375,0.7398023009300232,261.5,248.3850267379679
1344,1.5,0.375,0.426888108253479,183,318.54545454545456
1408,-0.5,-0.125,0.5381009578704834,528.5,365.03743315508024
1472,3.75,0.9375,0.7131693363189697,308,395.0788770053476
1536,0.5,0.125,0.6925733089447021,371,379.87566844919786
1600,5,1.25,0.5269834399223328,403.5,371.2807486631016
1664,6.5,1.625,0.5463541746139526,657,438.97192513368987
1728,3.5,0.875,0.46581563353538513,498.5,471.56283422459893
1792,7.875,1.96875,0.8766493797302246,531,418.7085561497326
1856,0.5,0.125,0.7832375168800354,333.5,388.4438502673797
1920,-2,-0.5,0.5587146878242493,166.5,327.6898395721925
1984,-1,-0.25,0.3951278030872345,249,343.7245989304813
2048,3.5,0.875,0.5504512190818787,636.5,368.08422459893046
2112,2,0.5,0.9305068254470825,361.5,373.03208556149735
2176,9,2.25,0.660335123538971,468,374.80748663101605
2240,-2.5,-0.625,0.8345686197280884,0,372.0494652406417
2304,3.5,0.875,0.9383348822593689,200,351.370320855615
2368,-0.5,-0.125,0.740655779838562,135.5,319.3663101604278
2432,3.5,0.875,0,271.5,270.0267379679144
2496,-2.5,-0.625,0.779224693775177,0,204.8422459893048
2560,-0.5,-0.125,0.7772313356399536,183,231.82085561497325
2624,-2.5,-0.625,0,0,211.41711229946523
2688,-2.5,-0.625,0.6865124702453613,0,171.1898395721925
2752,-0.5,-0.125,0,162.5,130.4024064171123
2816,-2.5,-0.625,0,0,125.61229946524064
2880,-0.5,-0.125,0,700.5,117.8836898395722
2944,-2.5,-0.625,0,0,131.20855614973263
3008,-2.5,-0.625,0,0,124.94919786096257
3072,-2.5,-0.625,0.9972020983695984,0,120.07352941176471
3136,-2.5,-0.625,0,0,123.72058823529412
3200,9,2.25,0,409,126.58021390374331
3264,-2.5,-0.625,0.4483518600463867,0,126.2192513368984
3328,-2.5,-0.625,0,0,135.70454545454547
