_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,1,0.25,0.005550186615437269,138.25,235.31283422459893
128,-0.5,-0.125,0.08850610256195068,759.25,247.5855614973262
192,10,2.5,0.02302255481481552,270.75,274.4572192513369
256,5.875,1.46875,0.16828177869319916,259,253.42379679144386
320,4.625,1.15625,0.07316472381353378,335,226.09358288770053
384,6.5,1.625,0.10709585249423981,206,276.1082887700535
448,5.875,1.46875,0.06128886342048645,213.75,307.3582887700535
512,7.375,1.84375,0.08660467714071274,267,276.1831550802139
576,5.875,1.46875,0.1832478791475296,231.5,289.9532085561497
640,7.375,1.84375,0.15982374548912048,416.25,309.9692513368984
704,4.5,1.125,0.16112206876277924,185.25,301.5802139037433
768,3.25,0.8125,0.11289656907320023,307.5,296.0534759358289
832,10,2.5,0.09987198561429977,250.25,298.9144385026738
896,1.75,0.4375,0.050299350172281265,425,291.798128342246
960,4.0625,1.015625,0.14425314962863922,430.25,287.88101604278074
1024,7.25,1.8125,0.0955529436469078,274.75,295.4505347593583
1088,4.5,1.125,0.061861395835876465,294.75,316.7860962566845
1152,4.5,1.125,0.275589257478714,326.5,303.9572192513369
1216,7.25,1.8125,0.12345095723867416,200,291.6524064171123
1280,4.875,1.21875,0.19338002800941467,506.25,275.379679144385
1344,6.5,1.625,0.1170821562409401,278,290.418449197861
1408,6.625,1.65625,0.27293404936790466,215.75,291.129679144385
1472,6.75,1.6875,0.22364097833633423,342.75,292.52272727272725
1536,5,1.25,0.1766398549079895,187.5,291.1403743315508
1600,5.75,1.4375,0.09207756817340851,279.75,294.4398395721925
1664,10,2.5,0.1614195555448532,211.5,294.63903743315507
