_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,1,0.25,0.0007010927074588835,150,237.33957219251337
128,-2,-0.5,0.0007125783595256507,768,235.82219251336898
192,6.5,1.625,0.09222912788391113,256,268.2633689839572
256,7.25,1.8125,0.04740799218416214,259.5,247.55347593582889
320,10,2.5,0.05667155981063843,216.5,233.03208556149733
384,4.5,1.125,0.08924815058708191,154,256.32754010695186
448,7.25,1.8125,0.18031589686870575,161.5,236.67914438502675
512,6,1.5,0.06989652663469315,192.5,341.798128342246
576,-2.5,-0.625,0.40632742643356323,663,359.8155080213904
640,0.5,0.125,0.32082054018974304,451,401.18048128342247
704,7.25,1.8125,0.1494370549917221,103.5,309.63101604278074
768,4.5,1.125,0.35755160450935364,131,364.3596256684492
832,8.25,2.0625,0.23903991281986237,211.5,283.10561497326205
896,-2,-0.5,0.17268046736717224,277,378.81417112299465
960,-2.5,-0.625,0.38957327604293823,768,411.52807486631013
1024,2.25,0.5625,0.4573536217212677,408.5,389.5401069518717
1088,2.75,0.6875,0.3453877568244934,467,362.6082887700535
1152,1,0.25,1.18316650390625,393.5,381.120320855615
1216,8.5,2.125,0.29431915283203125,250,418.55213903743316
1280,1.75,0.4375,0.9378156065940857,360,240.98128342245988
1344,6.25,1.5625,1.221879243850708,307,224.36898395721926
1408,0,0,0.43198662996292114,144,237.11229946524065
1472,5.25,1.3125,0.8812606334686279,184.5,187.22058823529412
1536,1.5,0.375,2.0394773483276367,85.5,190.92914438502675
1600,2.75,0.6875,1.370654821395874,68,189.2192513368984
1664,-0.25,-0.0625,1.2213146686553955,210.5,54.86764705882353
1728,-2.5,-0.625,0,0,40.56951871657754
1792,4,1,0,278.5,24.52540106951872
1856,-2.5,-0.625,0.7291050553321838,0,8.903743315508022
1920,-2.5,-0.625,0,0,2.985294117647059
1984,-2.5,-0.625,0,0,2.6483957219251337
2048,-2.5,-0.625,0,0,1.5842245989304813
2112,-2.5,-0.625,0,0,0.8489304812834224
2176,-2.5,-0.625,0,0,0.39705882352941174
2240,-2.5,-0.625,0,0,0.39705882352941174
2304,-2.5,-0.625,0,0,0.39705882352941174
2368,-2.5,-0.625,0,0,0.39705882352941174
2432,-2.5,-0.625,0,0,0.39705882352941174
2496,-2.5,-0.625,0,0,0.39705882352941174
2560,-2.5,-0.625,0,0,0.39705882352941174
2624,-2.5,-0.625,0.6019395589828491,0,1.2513368983957218
2688,-2.5,-0.625,0,0,0.4772727272727273
2752,-2.5,-0.625,0,0,0.4585561497326203
2816,-2.5,-0.625,0,0,0.56951871657754
2880,-2.5,-0.625,0,0,0.3877005347593583
2944,-2.5,-0.625,0,0,1.2219251336898396
3008,-2.5,-0.625,0,0,1.7272727272727273
3072,-2.5,-0.625,0,0,1.8957219251336899
3136,-2.5,-0.625,0,0,1.1470588235294117
3200,-2.5,-0.625,0,0,1.1470588235294117
3264,-2.5,-0.625,0,0,1.1470588235294117
3328,-2.5,-0.625,0,0,1.1470588235294117
